Stkcd,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
000618.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300382.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603886.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600976.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002175.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002397.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002758.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600546.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
600455.XSHG,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
300342.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000022.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603015.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600015.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002766.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000688.XSHE,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
002273.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000738.XSHE,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
002737.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000509.XSHE,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
600311.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
002370.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600325.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300152.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002290.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601888.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300409.XSHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600219.XSHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
