ReportID,RelativeRecommendation,RelativeAnaExperience,RelativeCoNumber,RelativeNumber,IsStarAnalyst,AnalystExperience,FollowCoNumber,ForecastNumber,roe,LOSS
8936621,0.0,8.17,-2.25,171.94,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8936465,0.0,-3.06,-14.25,-71.06,1.0,4.11,13.0,73.0,0.07859095090818846,0.0
8936013,0.0,-6.38,-18.25,-122.69,0.0,0.77,11.0,12.0,0.07859095090818846,0.0
8923827,0.0,-6.15,-21.4,-121.53,0.0,1.44,9.0,28.0,0.07859095090818846,0.0
8918587,0.0,22.92,115.13,380.5,0.0,29.89,42.0,72.0,0.07859095090818846,0.0
8917307,-1.0,5.33,-5.4,21.47,1.0,12.92,14.0,39.0,0.07859095090818846,0.0
8916271,0.0,3.75,9.6,216.47,0.0,11.34,31.0,120.0,0.07859095090818846,0.0
8916255,0.0,-2.43,-9.4,-79.53,0.0,5.17,18.0,59.0,0.07859095090818846,0.0
8915875,-1.0,-5.56,-11.4,-101.53,0.0,2.03,16.0,36.0,0.07859095090818846,0.0
8914903,0.0,1.75,-6.4,-13.53,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8913157,0.0,7.75,-3.4,152.47,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8891455,0.0,-4.77,-12.25,-72.42,0.0,0.81,12.0,18.0,0.07859095090818846,0.0
8872711,-1.0,-7.99,-6.67,-77.05,0.0,2.03,16.0,36.0,0.07859095090818846,0.0
8871111,0.0,-8.58,-17.67,-98.05,0.0,1.44,9.0,28.0,0.07859095090818846,0.0
8869127,0.0,-0.68,-1.67,10.95,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8868517,0.0,-5.81,-10.67,-52.71,1.0,4.11,13.0,73.0,0.07859095090818846,0.0
8867523,0.0,5.32,1.33,175.95,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8867255,-1.0,-6.37,-17.67,-90.05,0.0,3.66,6.0,18.0,0.07859095090818846,0.0
8837185,-1.0,-7.26,-20.1,-92.86,0.0,3.66,6.0,18.0,0.07859095090818846,0.0
8821519,0.0,-8.57,-19.33,-99.95,0.0,1.67,6.0,9.0,0.07859095090818846,0.0
8814913,-1.0,-8.21,-7.33,-81.95,0.0,2.03,16.0,36.0,0.07859095090818846,0.0
8812851,0.0,-0.89,-1.33,12.05,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8812233,0.0,-8.79,-17.33,-97.95,0.0,1.44,9.0,28.0,0.07859095090818846,0.0
8811111,0.0,-6.5,-11.15,-61.5,1.0,4.11,13.0,73.0,0.07859095090818846,0.0
8807025,0.0,5.11,1.67,176.05,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8806769,0.0,-5.27,6.67,-5.95,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8795351,0.0,-5.47,4.27,-12.91,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8791147,0.0,2.46,-2.55,46.0,1.0,12.92,14.0,39.0,0.07859095090818846,0.0
8757931,0.0,4.78,0.45,162.23,0.0,15.34,19.0,92.0,0.07859095090818846,0.0
8757621,0.0,-1.57,-3.1,2.14,0.0,9.34,19.0,76.0,0.07859095090818846,0.0
8747241,-1.0,-8.88,-19.1,-97.86,0.0,2.03,16.0,36.0,0.07859095090818846,0.0
8747249,0.0,-7.38,-11.1,-73.86,0.0,3.53,18.0,47.0,0.07859095090818846,0.0
8747095,0.0,19.46,-22.1,-99.86,0.0,30.38,3.0,3.0,0.07859095090818846,0.0
8746099,0.0,15.36,-19.1,-94.86,0.0,26.28,4.0,9.0,0.07859095090818846,0.0
8746017,0.0,-5.75,-11.1,-70.86,0.0,5.17,18.0,59.0,0.07859095090818846,0.0
8745387,0.0,14.9,-4.1,3.14,0.0,25.81,4.0,13.0,0.07859095090818846,0.0
8745321,0.0,0.6,-15.1,-38.86,0.0,11.51,8.0,13.0,0.07859095090818846,0.0
8745091,0.0,-6.8,-12.1,-64.86,1.0,4.11,13.0,73.0,0.07859095090818846,0.0
8744981,0.0,-9.14,-22.1,-103.86,0.0,1.78,6.0,6.0,0.07859095090818846,0.0
8744977,0.0,0.43,12.9,221.14,0.0,11.34,31.0,120.0,0.07859095090818846,0.0
8744891,0.0,-5.95,4.9,-13.86,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8744781,0.0,2.01,-3.1,40.14,1.0,12.92,14.0,39.0,0.07859095090818846,0.0
8744737,0.0,20.19,115.13,380.5,0.0,29.89,42.0,72.0,0.07859095090818846,0.0
8725659,0.0,-6.21,-16.63,-84.81,0.0,1.67,6.0,9.0,0.07859095090818846,0.0
8720927,0.0,-2.99,-12.06,-62.19,0.0,5.56,7.0,31.0,0.07859095090818846,0.0
8718295,0.0,2.96,-9.06,-25.13,0.0,11.51,8.0,13.0,0.07859095090818846,0.0
8715517,0.0,-3.59,10.94,-2.13,1.0,4.97,30.0,86.0,0.07859095090818846,0.0
8715309,0.0,-4.44,-6.06,-53.13,1.0,4.11,13.0,73.0,0.07859095090818846,0.0
